DepartmentName,Field,Area,Umbrella,is_STEM
"Mathematics, School of",Mathematics,Mathematical Sciences,Mathematics and Computing,True
"Mathematics, Department of",Mathematics,Mathematical Sciences,Mathematics and Computing,True
"Psychology, School of",Psychology,Psychological Sciences,Social Sciences,False
"Biology, Department of",Biological Sciences,Biological Sciences,Natural Sciences,True
"Psychological Sciences, Department of",Psychology,Psychological Sciences,Social Sciences,False
"Mathematical Sciences, School of",Mathematics,Mathematical Sciences,Mathematics and Computing,True
"Mathematics, Department of",Statistics,Mathematical Sciences,Mathematics and Computing,True
"Physics, School of",Physics,Physical Sciences,Natural Sciences,True
"Risk Management and Insurance, Department of",,Business,Business,False
"Civil and Environmental Engineering, School of",Civil Engineering,Engineering,Engineering,True
"Civil and Environmental Engineering, School of",Environmental Engineering,Engineering,Engineering,True
"Educational Psychology, Department of",Educational Psychology,Psychological Sciences,Social Sciences,False
"Kinesiology and Community Health, Department of","Exercise Science, Kinesiology, Rehab, Health",Health,Health,False
"Linguistics, Department of",Linguistics,Linguistics,Humanities,False
"Psychology, Department of",Psychology,Psychological Sciences,Social Sciences,False
"Communication Studies, Department of",Communication,"Journalism, Media, Communication","Journalism, Media, Communication",False
"Chemistry and Biochemistry, School of",Chemistry,Chemical Sciences,Natural Sciences,True
"Chemistry and Biochemistry, School of",Biochemistry,Biological Sciences,Natural Sciences,True
"Physics, Department of",Physics,Physical Sciences,Natural Sciences,True
"Chemical and Biomolecular Engineering (Polytechnic Institute), Department of",Agricultural Engineering,Engineering,Engineering,True
"Chemical and Biomolecular Engineering (Polytechnic Institute), Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Aerospace Engineering, School of",Aerospace Engineering,Engineering,Engineering,True
"Aerospace Engineering and Engineering Mechanics, Department of",,Engineering,Engineering,True
"Aerospace Engineering and Engineering Mechanics, Department of",Aerospace Engineering,Engineering,Engineering,True
"Aerospace Engineering, Department of",Aerospace Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, School of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, School of",Systems Engineering,Engineering,Engineering,True
"Aerospace Engineering Sciences, Department of",Aerospace Engineering,Engineering,Engineering,True
"Aerospace, Department of",Aerospace Engineering,Engineering,Engineering,True
"Mechanical Science and Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Electrical and Computer Engineering, Department of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Electrical and Computer Engineering, Department of",Electrical Engineering,Engineering,Engineering,True
"Mechanical Engineering, School of",Mechanical Engineering,Engineering,Engineering,True
"Aerospace and Ocean Engineering, Department of",Aerospace Engineering,Engineering,Engineering,True
"Mechanical Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Biomedical Engineering, Department of",Biomedical Engineering,Biological Sciences,Natural Sciences,True
"Statistics, Department of",Statistics,Mathematical Sciences,Mathematics and Computing,True
"Public Policy, School of",Public Policy,Public Administration and Policy,Public Administration and Policy,False
"Industrial Engineering and Operations Research, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial Engineering and Operations Research, Department of",Operations Research,Engineering,Engineering,True
"Population Health Sciences, Department of","Exercise Science, Kinesiology, Rehab, Health",Health,Health,False
"Operations Research and Information Engineering, School of",Operations Research,Engineering,Engineering,True
"Mechanical and Industrial Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Mechanical and Industrial Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, Fitts Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, Fitts Department of",Systems Engineering,Engineering,Engineering,True
"Industrial and Enterprise Systems Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Enterprise Systems Engineering, Department of",Systems Engineering,Engineering,Engineering,True
"Industrial and Manufacturing Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, Department of",Systems Engineering,Engineering,Engineering,True
"Industrial and Systems Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Industrial and Operations Engineering, Department of",Operations Research,Engineering,Engineering,True
"Industrial and Operations Engineering, Department of",Industrial Engineering,Engineering,Engineering,True
"Computer Science, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Systems and Enterprises, School of",Management,Business,Business,False
"Systems and Enterprises, School of",Systems Engineering,Engineering,Engineering,True
"Applied Mathematics and Statistics, Department of",Operations Research,Engineering,Engineering,True
"Applied Mathematics and Statistics, Department of",Statistics,Mathematical Sciences,Mathematics and Computing,True
"Applied Mathematics and Statistics, Department of",,Mathematical Sciences,Mathematics and Computing,True
"Mathematical Sciences, Department of",Mathematics,Mathematical Sciences,Mathematics and Computing,True
"Electrical and Computer Engineering, School of",Electrical Engineering,Engineering,Engineering,True
"Electrical and Computer Engineering, School of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Applied Physiology, School of",Physiology,Medical Sciences,Medicine,True
"Applied Physiology, School of",Biological Sciences,Biological Sciences,Natural Sciences,True
"Materials Science and Engineering, School of",Materials Engineering,Engineering,Engineering,True
"Mechanical Engineering and Materials Science, Department of",Mechanical Engineering,Engineering,Engineering,True
"Operations Management, Department of",Management,Business,Business,False
"Operations Management, Department of",Operations Research,Engineering,Engineering,True
"Industrial Design, School of",,"Architecture, Design, Planning",Humanities,False
"Mechanical Engineering and Mechanics, Department of",,Engineering,Engineering,True
"Mechanical Engineering and Mechanics, Department of",Mechanical Engineering,Engineering,Engineering,True
"Mechanical and Nuclear Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Mechanical and Nuclear Engineering, Department of",,Engineering,Engineering,True
"Information Technology Management, Department of",Information Technology,Computational Sciences,Mathematics and Computing,True
"Mechanical and Civil Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Mechanical and Civil Engineering, Department of",Civil Engineering,Engineering,Engineering,True
"Computing and Mathematical Science, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computing and Mathematical Science, Department of",,Mathematical Sciences,Mathematics and Computing,True
"Architecture, School of",Architecture,"Architecture, Design, Planning",Humanities,False
"Architectural Engineering, Department of",Architecture,"Architecture, Design, Planning",Humanities,False
"Civil and Environmental Engineering, Department of",Civil Engineering,Engineering,Engineering,True
"Civil and Environmental Engineering, Department of",Environmental Engineering,Engineering,Engineering,True
"Automotive Engineering, Department of",Mechanical Engineering,Engineering,Engineering,True
"Bioengineering, Department of",Biomedical Engineering,Biological Sciences,Natural Sciences,True
"Bioengineering, Department of",Agricultural Engineering,Engineering,Engineering,True
"Computer Science, School of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer Science, School of",Information Technology,Computational Sciences,Mathematics and Computing,True
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Systems Engineering,Engineering,Engineering,True
"Computing, Informatics and Decision Systems Engineering, School of - Computer Science Faculty",Information Technology,Computational Sciences,Mathematics and Computing,True
"Computer Science and Engineering, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer Science and Engineering, Department of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Electrical Engineering, Department of",Electrical Engineering,Engineering,Engineering,True
"Interactive Computing, School of",,Computational Sciences,Mathematics and Computing,True
"Management Science, Department of",Management Information Systems,Business,Business,False
"Management, Department of",Management,Business,Business,False
"Organizational Behavior, Department of",,Business,Business,False
"Marketing, Department of",Marketing,Business,Business,False
"Applied Economics and Management, School of",,Economics,Social Sciences,False
"Applied Economics and Management, School of",Management,Business,Business,False
"Accounting, Department of",Accounting,Business,Business,False
"Finance, Department of",Finance,Business,Business,False
"Finance, Managerial Economics, and Real Estate, Area in",Finance,Business,Business,False
"Finance and Economics, Department of",Finance,Business,Business,False
"Finance and Economics, Department of",Economics,Economics,Social Sciences,False
"Finance and Managerial Economics, Department of",Management,Business,Business,False
"Finance and Managerial Economics, Department of",Economics,Economics,Social Sciences,False
"Finance and Managerial Economics, Department of",Finance,Business,Business,False
"Accountancy, Department of",Accounting,Business,Business,False
"Managerial Sciences, Department of",Management,Business,Business,False
"Operations and Decision Technologies, Department of",Operations Research,Engineering,Engineering,True
Technology and Operations Management Unit,,Business,Business,False
"Business, Goizueta School of",Business Administration,Business,Business,False
"Strategy and Innovation, Department of",,Business,Business,False
"Chemistry, Department of",Chemistry,Chemical Sciences,Natural Sciences,True
"Materials Science and Engineering, Department of",Materials Engineering,Engineering,Engineering,True
"Energy, Environmental and Chemical Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Energy, Environmental and Chemical Engineering, Department of",Environmental Engineering,Engineering,Engineering,True
"Chemical and Biomolecular Engineering, School of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Chemical and Biomolecular Engineering, School of",Agricultural Engineering,Engineering,Engineering,True
"Materials Engineering, Department of",Materials Engineering,Engineering,Engineering,True
"Chemical and Biomolecular Engineering, Department of",Agricultural Engineering,Engineering,Engineering,True
"Chemical and Biomolecular Engineering, Department of",Chemical Engineering,Chemical Sciences,Natural Sciences,True
"Bioengineering and Therapeutic Sciences, Department of",Agricultural Engineering,Engineering,Engineering,True
"Bioengineering and Therapeutic Sciences, Department of",Biomedical Engineering,Biological Sciences,Natural Sciences,True
"Pharmacology, Department of",Pharmacology,Medical Sciences,Medicine,True
"Computational Science and Engineering, School of",,Computational Sciences,Mathematics and Computing,True
"Computational Science and Engineering, School of",,Engineering,Engineering,True
"Computer and Information Science, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer and Information Science, Department of",Information Science,Computational Sciences,Mathematics and Computing,True
"Electrical Engineering and Computer Science, Department of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Electrical Engineering and Computer Science, Department of",Electrical Engineering,Engineering,Engineering,True
"Electrical Engineering and Computer Science, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer Science and Engineering, Division of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Computer Science and Engineering, Division of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Electrical Engineering and Computer Sciences, Department of",Electrical Engineering,Engineering,Engineering,True
"Electrical Engineering and Computer Sciences, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer and Information Science and Engineering, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Computer and Information Science and Engineering, Department of",Computer Engineering,Computational Sciences,Mathematics and Computing,True
"Machine Learning, Department of",Computer Science,Computational Sciences,Mathematics and Computing,True
"Environmental Health, Department of",Environmental Health Sciences,Health,Health,False
"Civil and Environmental Engineering and Construction , Department of",Civil Engineering,Engineering,Engineering,True
"Civil and Environmental Engineering and Construction , Department of",Environmental Engineering,Engineering,Engineering,True
"City and Regional Planning, School of",,"Architecture, Design, Planning",Humanities,False
