cmd	n	stem_aashna	stem_aanchal	stem?	error in translation?
Languages	1332	0	0	0	0
Center Of Cryptography	1	0	0	0	0
Key Laboratory Of Photochemical Conversion And Optoelectronic Materials	7	1	1	1	0
Department For The Study Of Culture	54	0	0	0	0
Political Science	15731	0	0	0	0
Education	62380	0	0	0	0
Malacology Department	1	0	1	1	0
Institute For Logic, Language And Computation	52	1	1	1	0
Medicity Research Laboratory	10	1	1	1	0
Physics	102194	1	1	1	0
Insititute Of Physical Metallurgy And Metal Physics	1	1	1	1	0
Bachelor Of Music	2	0	0	0	0
Dipartimento Di Fisica \"Ettore Pancini\"	8517	0	1	1	1
Pharmacology	11111	1	1	1	0
Physics Department	10595	1	1	1	0
Pharmaceutics	3016	1	1	1	0
Esat	160	0	#NAME?	0	1
American Studies	615	0	0	0	0
Physical	3452	0	#NAME?	0	0
Non-Formal Education	45	0	0	0	0
Microbiology	19503	1	1	1	0
Clinical Psychology	3419	0	0	0	0
Faculty Of Electrical Engineering	1488	1	1	1	0
Graduate School Of Agriculture	431	1	1	1	0
Deanship Of Law	3	0	0	0	0
Accounting	9448	0	0	0	0
Law Library	186	0	0	0	0
Epidemiology &Amp; Public Health	59	1	1	1	0
Biology	63334	1	1	1	0
Dickson Poon School Of Law	47	0	0	0	0
Antioquia	12440	0	#NAME?	0	1
Mathematics	59852	1	1	1	0
Central Institute Of Dryland Agriculture	1	1	1	1	0
General Curriculum	1	0	0	0	0
Qufu Normal University	2	0	#NAME?	0	0
Plant Pathology	3004	1	1	1	0
Electrical Engineering	34730	1	1	1	0
Control Engineering And Automation	15	1	1	1	0
Department Of Geophysics	545	1	1	1	0
Philosophy	22459	0	0	0	0
Institute Of Biophysics	245	1	1	1	0
Psychology	82994	0	0	0	0
Psychology Of Learning With Digital Media	1	0	1	0	0
Department Of Medicine	4696	1	1	1	0
Health Care Department	21	1	1	1	0
Bioinformatics	2719	1	1	1	0
Classical Archaeology	171	0	0	0	0
Computer Science And Applied Mathematics	118	1	1	1	0
Department Of Biology	10455	1	1	1	0
Institut Of General Practice	1	0	0	0	1
Psychiatry &Amp; Neuroscience	4	1	1	1	0
Annual Award For Excellence In Research And Referencing	1	0	#NAME?	0	0
Programa De Pós-Graduação Em Letras	1	0	#NAME?	0	1
Engineering Physics And Mathematics	55	1	1	1	0
Coautor, V Colaplamed	1	0	#NAME?	0	1
Economics	38915	0	0	0	0
Cardiology	9528	1	0	1	0
Tolima	2342	0	#NAME?	0	1
Project Management	1092	0	0	0	0
Geografia	4262	0	1	1	1
Plant Physiology, Nutrition	2	1	1	1	0
Production Engineering	1685	1	1	1	0
Institute Of Chemistry	3772	1	1	1	0
International History	125	0	0	0	0
Internal Medicine	19128	1	1	1	0
Mathematics (Applied)	3	1	1	1	0
Computer Science	53284	1	1	1	0
Dept. Of Industrial And Information Engineering And Economic	1	1	1	1	0
Proppe	4	0	#NAME?	0	1
Postgraduate	9448	0	#NAME?	0	0
Chemistry	125554	1	1	1	0
Department Of Oral Maxillofacial Head Neck Oncology	2	1	1	1	0
Institute Of Biomedical Sciences	11	1	1	1	0
Bielefeld Graduate School In History And Sociology	7	0	0	0	0
Center For Applied Research On The Environment And Sustainability	4	1	1	1	0
Faculty Of Agriculture	1660	1	1	1	0
Sociology	23800	0	0	0	0
Medicine Of Animal, Production And Health Department	1	1	1	1	0
Department Of Biology Of Physical Activity	38	1	1	1	0
Legal	2235	0	0	0	0
Faculty Of Veterinary Medicine	2736	1	1	1	0
Electrical Engineering And Computer Science	2342	1	1	1	0
Biology (Microbiology)	7	1	1	1	0
Informatiche	30	0	1	1	1
Tuberculosis Research Group - Infectology	1	1	1	1	0
Civil Engineer	342	1	1	1	0
Engineering	22627	1	1	1	0
Lpma	10	0	#NAME?	0	1
Economics Development Studies	5	0	0	0	0
Prodep	95	0	#NAME?	0	1
Languages &Amp; Computer Science	4	1	1	1	0
Faculty Of Computer Science And Information Technology	249	1	1	1	0
Mechanical And Aeronautical Engineering	164	1	1	1	0
Accountancy	648	0	0	0	0
Department Of Chemistry	27346	1	1	1	0
Legal Area	31	0	0	0	0
Institute Of Psychology	2616	0	0	0	0
Psychological &Amp; Brain Sciences	202	0	1	0	0
School Of Literature Languages And Linguistics	1	0	0	0	0
Cauca's Valley	5580	0	#NAME?	0	1
Department Of Communication	828	0	0	0	0
School Of Nutrition, Food Science And Technology	5	1	1	1	0
Electrical And Electronics Engineering	6777	1	1	1	0
School Of Economics	3484	0	0	0	0
Neurology	14928	1	1	1	0
De Alianzas Para La Educación Y La Capacitación Becas Brasil	1	0	#NAME?	0	1
Química-Física Aplicada/Chemistry-Physics Applied	2	1	#NAME?	0	1
School Of Electrical And Electronic Engineering	32	1	1	1	0
