anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
cnrs occitanie west delegation,cnrs delegation ile-de-france west and north,cnr-isac,0.8014042377471924,0.6543924808502197
anton melik geographical institute,,geographical institute,,0.7355709075927734
immunohaematology,immunology,immunology and pathology,0.9326289892196655,0.9021089673042297
graphic department,graphic design department,graphic expression department,0.9509342908859253,0.9181172847747803
fundación hospital san pedro,fundación homi hospital de la misericordia,hospital san pedro,0.8319997787475586,0.8999966382980347
decor,decoration,furniture and decoration,0.9513309001922607,0.8605971932411194
circle,ide,corner,0.6470646262168884,0.6271754503250122
veterinary faculty,veterinary medicine faculty,,0.9254981875419617,
centre for forensic science,centre for forensic behavioural science,forensic science center,0.8780404329299927,0.9211432337760925
philology and journalism institute,philosophy institute,philosophy and humanities institute,0.8498705625534058,0.864752471446991
"architecture, built environment, and construction engineering","architecture, built environment and construction engineering","architecture, building and civil engineering",0.9970685839653015,0.9553375244140625
arauca,cundinamanrca,urca,0.776913583278656,0.8524312973022461
chemical and physical applied,physical and chemical,chemical and physical,0.9124826192855835,0.9137640595436096
forest biology and tree improvement,forest genetics and tree breeding,forest botany and tree physiology,0.8955315947532654,0.8974581360816956
geomatics division,geomatics department,division applied geoscience,0.9365106821060181,0.9014449119567871
st. petersburg branch,st. petersburg,st. petersburg coastal and marine science center,0.8301874399185181,0.6397922039031982
applied economics i,applied economics,applied business economics,0.9828667044639587,0.934004008769989
escola superior dom helder câmara,escola superior madre celeste,escola superior de educadores de infância maria ulrich,0.8148946762084961,0.8235450387001038
veterans health administration,veterans affairs,national guard health affairs,0.8321675062179565,0.7090442180633545
pharmaceutical/medicinal chemistry,pharmaceutical and medicinal chemistry,pharmaceutical chemistry and therapeutic,0.9827260971069336,0.9607225060462952
foundation in science,fundamental science,science and life foundation,0.8970018625259399,0.9318414330482483
proton therapy center,center for proton therapy,centre for medical radiation physics,0.9658470749855042,0.7827085256576538
industrial electronics and control engineering,electrical and control engineering,electronics and control engineering,0.9177842140197754,0.9455817937850952
administrative science & policy studies,administrative science and policy studies,administration sciences,0.9965190887451172,0.8862643241882324
dr. kiran c. patel osteopathic medicine,panchakarma,ramanbhai patel pharmacy,0.6210893392562866,0.7640624046325684
philosophy and political science,"philosophy, political science","philosophy, sociology and politics",0.9967062473297119,0.9442563056945801
master's degree in science education,master of science in education,master of science education,0.9447149038314819,0.9018799662590027
industrial and production engineering ipe,industrial and production engineering,industrial engineering and production,0.9332618713378906,0.9301774501800537
division of hematology and oncology,division of hematology/oncology,of oncology and hematology-oncology,0.9923931956291199,0.8961741924285889
food analysis and nutrition,food analysis,food nutrition and dietetics,0.9216867685317993,0.9091315269470215
marine department,marine division,marine affairs program,0.9074984788894653,0.8361217379570007
cinam,cin,caicam,0.8232524991035461,0.8455989360809326
charlie dunlop biological sciences,carl r. woese genomic biology,biology and biotechnology charles darwin,0.7061822414398193,0.7478687763214111
national center for agricultural health,agricultural research center,national agricultural health service,0.7697150111198425,0.8944622278213501
chemistry and mathematics,chemistry & mathematics,"chemistry, mathematics and natural sciences",0.9958027005195618,0.9287326335906982
"medicine, surgery and health sciences","medical, surgical and health sciences","medicine, medical sciences",0.970458447933197,0.9459333419799805
mathematical sciences and physics,"mathematics, physics","mathematics, physics and natural sciences",0.9690495729446411,0.9708309173583984
human and social futures,sustainable futures,human and social development,0.7635016441345215,0.8030162453651428
bank of america,national bank,bank of canada,0.8376585245132446,0.7961174249649048
radiation oncology department,radiation oncology branch,radiotherapy and radiation oncology,0.9273331165313721,0.8458704948425293
uide,ide,nides,0.8465906381607056,0.8537647724151611
constitutional court of colombia,judicial branch of colombia,constitutional court of ecuador,0.9049832820892334,0.7545263767242432
nariño departmental education secretariat,secretariat of education of cundinamarca,secretariat of education of state of paraná,0.863680362701416,0.851990818977356
center for converging technologies,centre for converging technologies,centre for modern interdisciplinary technologies,0.9801583290100098,0.9078428745269775
wigner research centre for physics,mta wigner research centre for physics,research center for physics,0.9339381456375122,0.8101428151130676
intensive care and emergencies,emergency and intensive care,emergency medicine and critical care,0.9763894081115723,0.9468364119529724
