anchor,same_period_affil,diff_period_affil,same_period_cos_sim,diff_period_cos_sim
cnrs occitanie west delegation,cnrs delegation ile-de-france west and north,,0.8014042377471924,
anton melik geographical institute,karst research institute,,0.6251733303070068,
immunohaematology,immunology,,0.9326289892196655,
graphic department,graphic design department,,0.9509342908859253,
fundación hospital san pedro,fundación homi hospital de la misericordia,,0.8319997787475586,
decor,decoration,,0.9513309001922607,
circle,ide,,0.6470646262168884,
veterinary faculty,veterinary medicine faculty,,0.9254981875419617,
centre for forensic science,centre for forensic behavioural science,,0.8780404329299927,
philology and journalism institute,philosophy institute,,0.8498705625534058,
"architecture, built environment, and construction engineering","architecture, built environment and construction engineering",,0.9970685839653015,
arauca,cundinamanrca,,0.776913583278656,
chemical and physical applied,physical and chemical,,0.9124826192855835,
forest biology and tree improvement,forest genetics and tree breeding,,0.8955315947532654,
geomatics division,geomatics department,geology/geography,0.9365106821060181,0.810393214225769
st. petersburg branch,st. petersburg,,0.8301874399185181,
applied economics i,applied economics,,0.9828667044639587,
escola superior dom helder câmara,escola superior madre celeste,,0.8148946762084961,
veterans health administration,veterans affairs,,0.8321675062179565,
pharmaceutical/medicinal chemistry,pharmaceutical and medicinal chemistry,,0.9827260971069336,
foundation in science,fundamental science,,0.8970018625259399,
proton therapy center,center for proton therapy,,0.9658470749855042,
industrial electronics and control engineering,electrical and control engineering,,0.9177842140197754,
administrative science & policy studies,administrative science and policy studies,,0.9965190887451172,
dr. kiran c. patel osteopathic medicine,panchakarma,,0.6210893392562866,
philosophy and political science,"philosophy, political science",,0.9967062473297119,
master's degree in science education,master of science in education,,0.9447149038314819,
industrial and production engineering ipe,industrial and production engineering,,0.9332618713378906,
division of hematology and oncology,division of hematology/oncology,,0.9923931956291199,
food analysis and nutrition,food analysis,,0.9216867685317993,
marine department,marine division,,0.9074984788894653,
cinam,cin,,0.8232524991035461,
charlie dunlop biological sciences,carl r. woese genomic biology,,0.7061822414398193,
national center for agricultural health,agricultural research center,,0.7697150111198425,
chemistry and mathematics,chemistry & mathematics,,0.9958027005195618,
"medicine, surgery and health sciences","medical, surgical and health sciences",faculty 'of medicine and surgery,0.970458447933197,0.8565930128097534
mathematical sciences and physics,"mathematics, physics",,0.9690495729446411,
human and social futures,sustainable futures,,0.7635016441345215,
bank of america,national bank,,0.8376585245132446,
radiation oncology department,radiation oncology branch,,0.9273331165313721,
uide,ide,,0.8465906381607056,
constitutional court of colombia,judicial branch of colombia,,0.9049832820892334,
nariño departmental education secretariat,secretariat of education of cundinamarca,,0.863680362701416,
center for converging technologies,centre for converging technologies,,0.9801583290100098,
wigner research centre for physics,mta wigner research centre for physics,,0.9339381456375122,
intensive care and emergencies,emergency and intensive care,,0.9763894081115723,
metallurgy and technology,technology and metallurgy,,0.9860876798629761,
environment & geography,environment and geography,,0.9969235062599182,
campus breves,campus sobral,,0.8808338642120361,
bed,room,,0.6848551034927368,
genetical enhancement,genetic engineering,,0.728150486946106,
instituto federal do norte de minas gerais,instituto federal do sudeste de minas gerais,,0.9052082896232605,
center for global initiatives,center for global engagement,global research center,0.9428446888923645,0.7718394994735718
geophysical,geophysic,,0.946344256401062,
christ redeemer of piauí,evangelical goianésia,,0.6908882856369019,
national center for high-performance computing,computing center,,0.8045321702957153,
industrial chemical engineering,chemical engineering and industrial chemistry,,0.9611967206001282,
public defense ministry,defense ministry,,0.9294895529747009,
microsystem technology,microsystems technology,,0.9904388189315796,
earth and environmental sciences,earth & environmental sciences,,0.9981859922409058,
molecular and translational medicine,molecular medicine and translational,,0.980986475944519,
medical parasitology and entomology,parasitology and medical entomology,,0.9747518301010132,
federal state budget scientific institution scientific center of mental health,federal medical research centre for psychiatry and narcology,,0.8155258297920227,
humanities and education institute,humanities institute,,0.9245427846908569,
cardiac anesthesia,cardiac anaesthesia,,0.9691863059997559,
education and information studies,education & information studies,,0.9975570440292358,
uaq,uteq,,0.8873018622398376,
grants administration,grants management,public and business administration,0.8989448547363281,0.664804220199585
earth sciences and geography,earth science and geography,,0.9866422414779663,
red cross nursing,red cross nursing school,,0.8723748922348022,
national arthritis and musculoskeletal and skin diseases,chronic diseases,,0.7470541000366211,
ibet,ibef,,0.7628753781318665,
école des sciences de la gestion,sciences de la gestion,,0.869940459728241,
forestry and resource conservation,forestry and nature conservation,,0.9769370555877686,
liceo,secondary school,,0.7086197137832642,
biomedical engineering and environmental sciences,biomedical sciences and engineering,,0.9416922330856323,
genomics and bioinformatics,genomics & bioinformatics,,0.9965410232543945,
"architecture, planning, and preservation",architecture and planning,,0.9187771081924438,
lamhess,lam,lthe,0.8167834877967834,0.6365160942077637
odonto-stomatology,stomatology,,0.9412844181060791,
"humanities, social and training sciences","humanities, education and social sciences",,0.9586819410324097,
business administration career,business administration,,0.8423046469688416,
"film, television and media studies",film and media studies,,0.9714223146438599,
laboratory of systems pharmacology,laboratory of molecular pharmacology,,0.8900284767150879,
finnish meteorological institute,finnish environment institute,,0.8585392236709595,
solar energy laboratory,renewable energy laboratory,,0.8525364398956299,
nuclear energy and safety,nuclear engineering,,0.8021433353424072,
r &d,r+d,,0.9248363971710205,
departamento de desenho industrial,departamento de engenharia industrial,,0.9645346403121948,
human development and quantitative methodology,human development,,0.7878948450088501,
deec,ec,,0.8483884930610657,
guizhou technology,xuzhou technology,,0.9456241130828857,
unilever,unilever r&d colworth,,0.8719115257263184,
hospital regional de são josé dr. homero de miranda gomes,hospital são josé,,0.8428876399993896,
"physics, chemistry",physics and chemistry,,0.9958628416061401,
"obstet, gynaecol & reprod sci",obstetrics & gynaecology,,0.8798325657844543,
methodical department,organizational and methodical department,,0.8594951629638672,
"forest, rangeland and fire sciences","forest, rangeland, and fire sciences",,0.9972074627876282,
davis business,david eccles business,,0.7613900899887085,
strategic communications,strategic communication,,0.9805439710617065,
social and life sciences,social and natural sciences,,0.9643426537513733,
ceri ee,ceri,,0.906448245048523,
berlin medical systems biology,medical systems biology,"rwth aachen mathematics, computer science and natural sciences",0.8044400215148926,0.7045395374298096
clinical practice research datalink,clinical informatics,clinical sciences centre,0.8096398711204529,0.7298023700714111
disaster and emergency medicine,emergency and disaster medicine,,0.9519081115722656,
drilling technology,drilling engineering,,0.8824326992034912,
"philosophical, historical, and international studies","philosophical, historical and international studies",,0.997279703617096,
brazilian studies,portuguese and brazilian studies,,0.9216040372848511,
national snow and ice data center,data science center,,0.7210795879364014,
national geographic society,"geography, social sciences",,0.764022946357727,
research health sciences,health sciences research,,0.9855982661247253,
trade and international economics,international economics and trade,,0.9936835765838623,
health professional education,health profession education,,0.9812277555465698,
women's and children's health,women's & children's health,,0.9972261190414429,
agricultural bank,bank,,0.7901168465614319,
communication and culture - art history,history and art history,,0.879513144493103,
umass memorial medical center,umass medical school,,0.8028870820999146,
humanities - philosophy,"humanities, philosophy",,0.9873411655426025,
master's degree in environmental science,master&#39;s degree in environmental management,,0.9109823703765869,
coastal and marine resources management,coastal and marine resource management,,0.997931957244873,
interactive technologies institute,madeira interactive technologies institute,,0.8443443179130554,
political science & sociology,political science and sociology,,0.9952297210693359,
doctoral military sciences,doctoral military engineering,,0.9002686738967896,
public health and allied health sciences,public health and allied sciences,,0.9895479679107666,
academy of technology and humanities in bielsko-biała,academy of humanities and economics in łódź,,0.8226916790008545,
hotel and tourism management,hotel & tourism management,,0.9976637363433838,
southwest research institute boulder,southwest research institute,,0.8131837844848633,
electrical power and machines,electric power and machines,,0.9804295897483826,
state security,national security,,0.8718093633651733,
claves,feclesc,,0.7860228419303894,
international social sciences division of international social sciences,social sciences division,,0.8860619068145752,
state secretary of education,education secretary of state,,0.9683310985565186,
escuela de construcción civil,escuela de ingenieria civil,,0.909809947013855,
disaster and emergency management,emergency and disaster management,,0.9767862558364868,
mount sinai health system,mount sinai hospital,,0.9365358948707581,
département d'information et de communication,département de communication,,0.9113457202911377,
unisal,unemat,,0.8557740449905396,
translational medicine and physiology,translational medicine,,0.9237139225006104,
a-1: information systems and modeling,computational modeling,,0.7956257462501526,
