cmd,reason
&quot;stephen great&quot; academy of ministry of internal affairs,not_academic
"1. prešov tool factory, ltd.",both
13,not_academic
59,not_academic
69,not_academic
75,not_academic
974,not_academic
@ilabafrica,not_academic
a,not_academic
a lion,not_academic
a lot,not_academic
a managua,not_academic
a memond,not_academic
abidjan,not_academic
abu dhabi national oil united arab emirates,not_academic
academic,not_academic
academic affairs,not_academic
academic area,not_academic
academic coordination,not_academic
academic direction,not_academic
academic record,not_academic
academic secretary,not_academic
academic staff unit,not_academic
academic vice,not_academic
academics,not_academic
academy,not_academic
academy of finland,not_academic
address,not_academic
address computerization,not_academic
address posgrados,not_academic
address research and postgraduate,not_academic
address teaching,not_academic
admin,not_academic
administración y marketing,non_english
administrative,not_academic
advanced level,not_academic
african development bank group,not_academic
agpu,not_academic
agresearch ltd grasslands research centre,not_english
agricultura,non_english
agrocampus ouest,not_english
agroteknologi,non_english
ahuachapan,not_academic
aihr fgw,not_academic
alajuela,not_academic
alikhanyan national laboratory,not_academic
alta verapaz,not_academic
alto parana,not_academic
"alto paraná, paraguay",not_academic
ama,not_academic
amambay,not_academic
amazon,not_academic
amberd research center,not_academic
amea,not_academic
american greece,not_academic
american sanatorium,not_academic
amman,not_academic
anapo,not_academic
ancash,not_academic
anep,not_academic
antakya,not_academic
antiguo cuscatlan,not_academic
antioquia,not_english
antropología social,non_english
apurimac,not_academic
arecibo,not_academic
arequipa,not_academic
argenco,not_academic
arqueologia,non_english
arquitetura,non_english
arsitektur,non_english
arts et archéologie,non_english
arts et métiers paristech,non_english
arxitektura,non_english
asia research institute,not_academic
asian development bank,not_academic
asoiu,not_academic
asse,not_academic
assumption,not_academic
asue,not_academic
asuncion,not_academic
asunción - capital,not_academic
ate,not_academic
athlete,not_academic
atlantic,not_academic
atlantic headquarters,not_academic
atlantic/coastal,not_academic
atlantis,not_academic
atsmu,not_academic
atu,not_academic
automatic,not_academic
ayacucho,not_academic
azerbaijan,not_academic
baccalaureate,not_academic
bachelor,not_academic
baja verapaz,not_academic
bamako,not_academic
bambey,not_academic
bangla,non_english
barranquilla,not_academic
barrel,not_academic
bay islands,not_academic
bba,not_academic
beaumont hospital,not_academic
bees,not_academic
bese,not_academic
bible,not_academic
bioanalisis,non_english
bioanálisis,non_english
biologi,non_english
biologia,non_english
biologia e biotecnologie,non_english
biología molecular,non_english
biomeditech,not_english
bioquímica y biología molecular,non_english
biotecnologia,non_english
biozentrum,non_english
bird of prey,not_academic
blowing,not_academic
bmdm,not_academic
bntu,not_academic
boaco,not_academic
board,not_academic
board of directors,not_academic
bocas del toro,not_academic
bogota,not_academic
bogota d.c,not_academic
bogota d.c.,not_academic
bogota dc,not_academic
bogotá d.c.,not_academic
bogotá dc,not_academic
"bogotá, d.c.",not_academic
bolivar,not_academic
bolivia,not_academic
boshlang'ich ta'lim,non_english
bucaramanga,not_academic
budapesti corvinus egyetem,non_english
buenos aires,not_academic
building,not_academic
c2dh,not_academic
caaguazu,not_academic
caaguazú,both
caazapá,both
caba,not_academic
caja costarricense de seguro social,non_english
caja de seguro social,non_english
caja nacional de seguridad social,non_english
cajamarca,not_academic
cali,not_academic
callao,not_academic
cam,not_academic
canindeyu,not_academic
canindeyú,not_english
capital,not_academic
capital region of denmark,not_academic
caqueta,not_academic
caquetá,both
caracas,not_academic
carazo,not_academic
cardiologia,non_english
care-c,not_academic
career history,not_academic
carrera ciencias de la comunicación social,non_english
carrera de comunicación social,non_english
carrera de ingeniería civil,non_english
carthage,not_academic
cartographie,non_english
catalink limited,not_academic
cauca,not_academic
cauca's valley,not_academic
caucasus business,not_academic
cba,not_academic
cbba,not_academic
cbc,not_academic
ccds,not_academic
cceb,not_academic
ccis,not_academic
ccje,not_academic
ccop,not_academic
ccsit,not_academic
ccss,not_academic
cea,not_academic
cea grenoble,not_academic
cea saclay,not_academic
cease,not_academic
cee,not_academic
ceibal plan,not_academic
ceitec,not_academic
center muraz,not_academic
central,not_academic
central library,not_academic
central lyon,not_academic
central nantes,not_academic
centralesupélec,non_english
centre,not_academic
centre de physique théorique,non_english
centre de recherche public henri tudor,non_english
centro agronomico tropical de investigacion y ensenanza catie,non_english
centro agronómico tropical de investigacion y enseñanza,non_english
"centro de inv. e innovacion elect., mec. y indust. cinemi",non_english
centro psicopedagógico y de investigación en educación superior,non_english
centro regional de chiriqui,non_english
centro regional de veraguas,non_english
cepies,not_academic
ceraas,not_academic
cerege,not_academic
cerge-ei,not_academic
cermes,not_academic
cern,not_academic
cersa,not_academic
ces,not_academic
cesar vallejo,not_academic
ceutec,not_academic
cfe,not_academic
chair,not_academic
champalimaud foundation,not_academic
cheers,not_academic
chest,not_academic
chiclayo,not_academic
chimaltenango,not_academic
chimbote,not_academic
chinandega,not_academic
chincha,not_academic
chinese,not_academic
chiquimula,not_academic
choco,not_academic
choluteca,not_academic
chontales,not_academic
cibertec,not_academic
ciceco,not_academic
