simple_cleaned,Field,is_STEM,preds
Mathematics,Mathematics,True,0.9349058116001503
Psychology,Psychology,False,0.12700437031632247
Biology,Biological Sciences,True,0.9695648925731627
Psychological Sciences,Psychology,False,0.2914631892769388
Mathematical Sciences,Mathematics,True,0.9518481923651212
Mathematics,Statistics,True,0.9349058116001503
Physics,Physics,True,0.9857670108764305
Risk Management and Insurance,,False,0.008969371250055641
Civil and Environmental Engineering,Civil Engineering,True,0.9833493414184741
Civil and Environmental Engineering,Environmental Engineering,True,0.9833493414184741
Educational Psychology,Educational Psychology,False,0.0014669847774258485
Kinesiology and Community Health,"Exercise Science, Kinesiology, Rehab, Health",False,0.008389853056845855
Linguistics,Linguistics,False,0.0024922208512809137
Communication Studies,Communication,False,0.001670218489360174
Chemistry and Biochemistry,Chemistry,True,0.9916158603549292
Chemistry and Biochemistry,Biochemistry,True,0.9916158603549292
Chemical and Biomolecular Engineering (Polytechnic Institute),Agricultural Engineering,True,0.9872515671702369
Chemical and Biomolecular Engineering (Polytechnic Institute),Chemical Engineering,True,0.9872515671702369
Aerospace Engineering,Aerospace Engineering,True,0.9254546749355594
Aerospace Engineering and Engineering Mechanics,,True,0.9268482672515207
Aerospace Engineering and Engineering Mechanics,Aerospace Engineering,True,0.9268482672515207
Industrial and Systems Engineering,Industrial Engineering,True,0.9865501351556935
Industrial and Systems Engineering,Systems Engineering,True,0.9865501351556935
Aerospace Engineering Sciences,Aerospace Engineering,True,0.7984442332767059
Aerospace,Aerospace Engineering,True,0.8150781682381751
Mechanical Science and Engineering,Mechanical Engineering,True,0.9649743134365447
Electrical and Computer Engineering,Computer Engineering,True,0.9805398691977463
Electrical and Computer Engineering,Electrical Engineering,True,0.9805398691977463
Mechanical Engineering,Mechanical Engineering,True,0.9638234809285962
Aerospace and Ocean Engineering,Aerospace Engineering,True,0.9158357732328689
Biomedical Engineering,Biomedical Engineering,True,0.917743937322774
Statistics,Statistics,True,0.9742654755236227
Public Policy,Public Policy,False,0.0025061619329395913
Industrial Engineering and Operations Research,Industrial Engineering,True,0.9713712203266546
Industrial Engineering and Operations Research,Operations Research,True,0.9713712203266546
Population Health Sciences,"Exercise Science, Kinesiology, Rehab, Health",False,0.20291923018562383
Operations Research and Information Engineering,Operations Research,True,0.959982316362861
Mechanical and Industrial Engineering,Mechanical Engineering,True,0.9823625886558242
